zipcode,state,county_code,name,rate_area
36749,AL,01001,Autauga,11
36703,AL,01001,Autauga,11
36003,AL,01001,Autauga,11
36008,AL,01001,Autauga,11
36006,AL,01001,Autauga,11
36022,AL,01001,Autauga,11
36051,AL,01001,Autauga,11
36091,AL,01001,Autauga,11
36068,AL,01001,Autauga,11
36067,AL,01001,Autauga,11
97920,OR,41045,Malheur,6
97913,OR,41045,Malheur,6
97914,OR,41045,Malheur,6
97911,OR,41045,Malheur,6
97901,OR,41045,Malheur,6
97918,OR,41045,Malheur,6
97903,OR,41045,Malheur,6
97910,OR,41045,Malheur,6
97902,OR,41045,Malheur,6
97350,OR,41047,Marion,3
97346,OR,41047,Marion,3
97311,OR,41047,Marion,3
97301,OR,41047,Marion,3
97358,OR,41047,Marion,3
97360,OR,41047,Marion,3
97375,OR,41047,Marion,3
97307,OR,41047,Marion,3
97309,OR,41047,Marion,3
97302,OR,41047,Marion,3
78059,TX,48325,Medina,19
78009,TX,48325,Medina,19
78016,TX,48325,Medina,19
78023,TX,48325,Medina,19
76848,TX,48327,Menard,26
76854,TX,48327,Menard,26
76856,TX,48327,Menard,26
76859,TX,48327,Menard,26
76841,TX,48327,Menard,26
25523,WV,54079,Putnam,5
25123,WV,54079,Putnam,5
25109,WV,54079,Putnam,5
25312,WV,54079,Putnam,5
25510,WV,54079,Putnam,5
25033,WV,54079,Putnam,5
00949,PR,72137,Toa Baja Municipio,1
00950,PR,72137,Toa Baja Municipio,1
00951,PR,72137,Toa Baja Municipio,1
00952,PR,72137,Toa Baja Municipio,1
00976,PR,72139,Trujillo Alto Municipio,1
00978,PR,72139,Trujillo Alto Municipio,1
00977,PR,72139,Trujillo Alto Municipio,1
00611,PR,72141,Utuado Municipio,1
00641,PR,72141,Utuado Municipio,1
00692,PR,72143,Vega Alta Municipio,1
00694,PR,72143,Vega Alta Municipio,1
00693,PR,72145,Vega Baja Municipio,1
00694,PR,72145,Vega Baja Municipio,1
00765,PR,72147,Vieques Municipio,1
00766,PR,72149,Villalba Municipio,1
00767,PR,72151,Yabucoa Municipio,1
00698,PR,72153,Yauco Municipio,1
